0,-1,438.43,183.82,59.00,48.28,0.92
0,-1,556.52,180.16,36.85,34.44,0.82
0,-1,140.40,185.19,74.99,33.61,0.82
0,-1,494.54,184.51,22.15,17.07,0.54
0,-1,1.03,185.29,94.76,46.30,0.53
1,-1,419.64,184.61,70.01,56.67,0.89
1,-1,124.20,188.82,79.19,33.31,0.85
1,-1,494.23,185.29,23.77,18.24,0.71
1,-1,555.27,181.32,37.76,34.52,0.67
1,-1,325.84,182.89,28.39,13.96,0.54
2,-1,102.33,191.60,87.27,34.52,0.92
2,-1,392.00,186.72,86.65,66.78,0.92
2,-1,554.77,181.34,38.34,34.59,0.75
2,-1,493.71,186.17,25.34,19.46,0.69
2,-1,325.98,184.52,24.85,14.48,0.45
2,-1,1.52,185.47,24.11,70.66,0.40
3,-1,347.78,185.99,117.39,83.17,0.95
3,-1,554.96,180.50,37.66,34.06,0.86
3,-1,79.86,191.57,94.41,36.59,0.85
3,-1,493.83,184.16,25.81,20.89,0.72
3,-1,323.72,182.98,23.29,15.41,0.47
4,-1,278.47,184.59,162.63,109.29,0.97
4,-1,56.38,190.78,100.42,37.74,0.91
4,-1,553.95,179.03,38.74,34.42,0.88
4,-1,491.47,182.43,28.32,22.62,0.79
4,-1,319.47,180.51,23.45,17.56,0.61
5,-1,150.22,185.63,255.01,155.56,0.98
5,-1,28.27,188.98,109.67,39.96,0.94
5,-1,554.01,177.16,37.91,35.03,0.84
5,-1,488.89,181.26,30.53,24.33,0.66
6,-1,-0.66,189.21,332.12,180.01,0.99
6,-1,553.03,178.56,37.92,34.50,0.81
6,-1,487.26,182.63,32.15,26.51,0.74
6,-1,4.56,189.28,110.83,48.13,0.68
7,-1,552.83,178.89,38.34,34.37,0.86
7,-1,1.35,189.40,92.97,47.59,0.84
7,-1,483.84,182.79,35.11,28.60,0.83
7,-1,-2.21,213.74,178.94,152.81,0.76
7,-1,311.13,181.39,32.42,16.14,0.55
8,-1,479.43,182.80,39.41,30.43,0.87
8,-1,1.28,192.99,64.47,45.84,0.86
8,-1,553.33,179.13,38.97,33.33,0.80
8,-1,310.12,181.16,27.90,16.84,0.71
9,-1,553.79,177.32,38.31,33.85,0.88
9,-1,474.32,181.73,43.17,33.84,0.74
9,-1,-0.40,198.84,37.92,41.44,0.69
9,-1,306.45,180.68,28.93,17.66,0.58
10,-1,466.53,181.46,50.37,39.85,0.89
10,-1,554.21,176.60,38.55,33.70,0.87
10,-1,302.06,180.76,30.02,18.35,0.61
11,-1,454.69,181.06,59.78,46.22,0.85
11,-1,554.94,176.25,38.13,33.60,0.78
11,-1,298.52,181.96,27.20,17.40,0.54
11,-1,492.58,182.21,28.51,20.54,0.52
12,-1,440.86,180.72,68.78,54.31,0.93
12,-1,555.71,176.37,38.30,32.20,0.76
12,-1,493.06,181.14,28.64,22.81,0.71
13,-1,418.37,181.18,85.09,62.83,0.94
13,-1,555.92,174.28,38.40,32.79,0.78
13,-1,490.96,179.69,33.09,24.80,0.74
13,-1,539.93,181.14,18.59,14.17,0.45
14,-1,389.05,183.99,101.12,73.58,0.96
14,-1,556.90,174.25,37.28,32.87,0.82
14,-1,491.55,179.91,32.86,25.92,0.71
14,-1,541.54,181.90,17.74,13.46,0.52
14,-1,1088.34,163.55,31.64,21.12,0.41
15,-1,336.86,188.37,138.01,94.73,0.97
15,-1,557.57,176.48,36.50,32.53,0.87
15,-1,491.11,182.16,33.44,27.37,0.64
15,-1,543.55,183.53,17.18,13.28,0.52
15,-1,1098.55,164.65,33.73,20.89,0.48
16,-1,233.93,188.12,220.39,135.83,0.96
16,-1,489.07,183.22,36.51,29.75,0.85
16,-1,558.30,177.96,37.57,32.75,0.85
16,-1,1113.23,168.37,36.56,19.75,0.49
17,-1,30.16,194.33,378.27,176.85,0.97
17,-1,558.14,178.66,36.10,32.15,0.77
17,-1,485.49,183.10,39.24,33.12,0.67
17,-1,1121.41,170.28,35.71,20.87,0.47
17,-1,289.26,180.96,23.38,17.03,0.44
18,-1,2.54,202.27,308.86,167.78,0.96
18,-1,476.27,179.62,46.56,37.13,0.88
18,-1,556.93,178.07,36.07,31.30,0.79
18,-1,279.99,176.26,40.49,19.71,0.55
18,-1,1127.67,172.46,39.69,19.73,0.53
19,-1,554.29,176.71,36.59,32.30,0.89
19,-1,466.10,179.17,51.26,41.29,0.86
19,-1,272.78,173.66,41.73,20.99,0.55
19,-1,1135.50,172.82,39.62,20.28,0.45
20,-1,453.62,178.11,57.68,47.20,0.93
20,-1,553.30,177.60,35.60,31.55,0.81
20,-1,266.99,171.06,51.64,22.47,0.54
20,-1,495.78,179.99,27.75,20.79,0.56
21,-1,433.99,177.07,72.79,54.97,0.93
21,-1,551.63,176.75,35.55,32.21,0.88
21,-1,496.57,178.12,26.83,22.69,0.80
21,-1,262.55,171.24,36.66,21.33,0.65
22,-1,407.22,179.09,88.33,65.43,0.93
22,-1,550.06,178.00,34.93,31.33,0.86
22,-1,495.45,178.79,28.33,23.69,0.73
22,-1,252.89,172.16,36.10,21.82,0.54
23,-1,368.44,181.69,113.22,79.65,0.95
23,-1,496.01,182.08,28.08,24.24,0.81
23,-1,549.88,180.20,34.46,31.46,0.71
23,-1,245.73,176.92,41.00,22.73,0.68
23,-1,481.83,182.67,18.73,14.82,0.58
24,-1,301.25,187.34,162.03,106.31,0.97
24,-1,495.71,184.83,29.77,24.33,0.86
24,-1,549.50,181.72,35.07,30.25,0.73
24,-1,237.57,180.91,42.65,23.07,0.59
24,-1,485.25,184.96,18.02,14.82,0.46
25,-1,168.34,189.18,264.30,156.89,0.98
25,-1,494.25,184.50,31.77,25.29,0.86
25,-1,549.59,181.07,34.91,29.57,0.64
25,-1,485.56,184.76,18.24,14.58,0.53
25,-1,235.49,180.98,53.67,25.83,0.49
26,-1,1.84,200.77,365.36,172.49,0.99
26,-1,491.94,186.34,35.92,29.65,0.86
26,-1,549.17,182.75,36.18,30.50,0.76
26,-1,227.08,188.21,44.85,24.95,0.74
26,-1,271.80,187.86,25.60,19.04,0.60
27,-1,6.16,221.57,216.69,145.39,0.80
27,-1,487.89,191.12,40.27,34.96,0.77
27,-1,549.73,188.29,35.41,31.63,0.77
27,-1,220.70,194.01,45.26,24.26,0.64
27,-1,266.38,190.05,30.14,24.05,0.63
28,-1,483.77,194.68,42.88,34.45,0.82
28,-1,548.15,190.44,36.07,30.52,0.74
28,-1,211.52,194.96,47.97,25.05,0.73
28,-1,257.38,192.53,34.46,22.07,0.61
29,-1,475.88,192.44,50.99,38.46,0.85
29,-1,547.48,188.38,34.78,30.71,0.84
29,-1,199.30,189.94,53.31,27.12,0.67
29,-1,249.86,188.66,38.14,22.14,0.51
30,-1,465.79,190.16,56.95,43.51,0.92
30,-1,548.06,186.54,33.26,29.88,0.88
30,-1,188.20,186.43,56.44,26.74,0.77
30,-1,241.40,185.37,42.01,22.30,0.62
30,-1,568.64,187.98,24.36,20.21,0.45
31,-1,451.42,189.90,65.75,52.30,0.92
31,-1,547.32,186.95,32.43,29.30,0.83
31,-1,176.98,186.74,55.39,28.66,0.82
31,-1,236.67,185.77,36.75,22.73,0.77
31,-1,568.86,187.80,24.59,20.63,0.68
32,-1,431.43,190.96,77.87,59.03,0.95
32,-1,162.17,186.30,60.05,29.25,0.86
32,-1,228.40,185.25,38.16,22.83,0.75
32,-1,546.64,185.64,32.90,28.61,0.71
32,-1,568.73,186.39,24.93,20.37,0.68
32,-1,480.70,188.83,37.47,25.11,0.46
33,-1,399.39,189.76,99.84,71.26,0.93
33,-1,480.24,187.39,36.44,26.96,0.83
33,-1,544.70,184.46,32.85,27.97,0.83
33,-1,145.47,185.41,64.56,29.77,0.81
33,-1,218.64,184.06,40.03,23.74,0.74
33,-1,568.20,185.05,25.11,19.34,0.57
34,-1,355.78,193.39,128.67,86.77,0.96
34,-1,128.52,182.77,72.40,30.92,0.86
34,-1,544.53,186.07,30.62,28.27,0.81
34,-1,207.42,182.19,45.13,24.08,0.74
34,-1,480.26,188.82,34.54,29.54,0.68
34,-1,569.59,185.85,23.98,20.95,0.59
35,-1,269.04,191.93,196.74,125.98,0.96
35,-1,106.96,180.60,79.23,33.37,0.88
35,-1,541.44,186.50,31.42,28.45,0.88
35,-1,472.03,188.97,39.94,32.10,0.85
35,-1,196.23,180.38,45.14,25.41,0.82
35,-1,568.55,186.76,23.75,20.13,0.77
36,-1,97.11,186.37,329.74,185.75,0.98
36,-1,85.14,176.44,88.96,34.39,0.92
36,-1,467.27,188.77,40.78,33.72,0.86
36,-1,540.30,184.75,31.75,27.34,0.80
36,-1,184.16,176.67,48.45,26.11,0.79
36,-1,568.12,185.96,24.20,19.49,0.61
37,-1,2.62,193.16,356.04,178.59,0.98
37,-1,64.10,174.18,94.32,36.22,0.89
37,-1,459.86,186.98,45.20,38.30,0.81
37,-1,539.91,182.71,31.10,28.36,0.77
37,-1,568.53,183.22,24.76,20.12,0.77
37,-1,169.85,174.86,55.09,26.22,0.63
38,-1,448.82,184.70,52.84,42.88,0.89
38,-1,536.51,179.01,32.84,29.17,0.88
38,-1,39.42,169.73,101.82,36.81,0.86
38,-1,156.80,170.71,56.17,27.30,0.81
38,-1,569.03,179.58,24.77,20.69,0.66
38,-1,2.06,196.70,186.04,172.01,0.62
39,-1,433.81,181.09,61.27,50.28,0.90
39,-1,536.91,175.23,31.94,28.72,0.88
39,-1,12.98,163.65,109.13,38.66,0.88
39,-1,141.90,166.48,61.64,27.71,0.79
39,-1,571.41,176.12,22.64,19.00,0.66
39,-1,467.59,173.53,30.06,25.65,0.50
40,-1,410.64,179.83,77.91,59.95,0.91
40,-1,126.37,162.59,63.18,28.79,0.85
40,-1,536.60,172.60,30.64,28.00,0.83
40,-1,2.25,160.52,97.74,39.54,0.83
40,-1,467.17,172.04,30.41,24.66,0.72
40,-1,571.86,173.78,23.54,20.60,0.64
41,-1,381.29,181.71,94.48,70.50,0.96
41,-1,0.66,157.47,77.85,43.33,0.80
41,-1,535.92,172.17,31.50,27.61,0.79
41,-1,109.81,162.17,66.43,29.31,0.76
41,-1,467.57,172.02,29.37,24.80,0.75
41,-1,573.66,172.67,23.56,20.45,0.64
42,-1,336.34,184.82,121.68,85.12,0.95
42,-1,1.36,156.65,53.85,42.56,0.88
42,-1,536.22,171.12,31.56,27.51,0.83
42,-1,92.00,159.13,70.80,31.10,0.81
42,-1,575.76,172.13,23.32,19.58,0.79
42,-1,463.83,170.63,33.42,27.68,0.71
43,-1,244.87,181.59,190.93,124.48,0.97
43,-1,72.46,158.06,76.87,31.25,0.90
43,-1,536.58,169.21,31.97,27.18,0.81
43,-1,462.18,169.86,34.08,28.94,0.80
43,-1,-0.42,155.88,28.12,42.81,0.78
43,-1,578.60,169.87,23.88,18.83,0.48
44,-1,65.26,177.49,323.91,195.67,0.98
44,-1,458.31,169.54,36.91,32.51,0.83
44,-1,49.44,158.56,85.65,32.73,0.81
44,-1,539.07,169.02,30.80,27.59,0.70
44,-1,579.78,170.35,25.05,19.60,0.58
45,-1,-4.84,194.27,309.20,176.77,0.98
45,-1,27.38,160.66,90.14,34.08,0.90
45,-1,541.45,171.59,29.27,26.54,0.83
45,-1,583.37,171.83,23.19,19.40,0.78
45,-1,454.55,172.96,38.75,33.62,0.78
46,-1,445.79,173.34,44.73,38.13,0.89
46,-1,4.08,160.96,95.18,35.37,0.87
